sl no,work,status,year,garam,work type,Total
,(1504009014/IF/93393042892559353),,,,,
913,_______ ______ ______ _____ ___________ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892559355),,,,,
914,_______ ______ _____ ______ ___________ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892559356),,,,,
915,_______ ______ ______ _______ ____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559358),,,,,
916,_______ ______ ________ ________ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559359),,,,,
917,_______ ____________ ______ ______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559361),,,,,
918,_______ _____________ ______ ______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559364),,,,,
919,_______ ______ _____ ________ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559367),,,,,
920,_______ ______ _____ ______ _______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559369),,,,,
921,_______ ______ _________ ______ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559437),,,,,
922,_______ ______ _____ ____________ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559440),,,,,
923,_______ ______ ______ _____ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559442),,,,,
924,_______ ______ ____ ____________ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559444),,,,,
925,_______ ______ ________ ________ _______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559446),,,,,
926,_______ ______ ________ _______ __________ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559449),,,,,
927,_______ ______ ______ ________ ____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892559451),,,,,
928,_______ ______ ______ ________ ____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892559453),,,,,
929,_______ ______ ________ ________ ____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892559454),,,,,
930,_______ ______ _____ ________ ____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892559456),,,,,
931,_______ ______ ______ ________ ____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892559457),,,,,
932,_______ ______ _________ __________ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892559459),,,,,
933,_______ ______ ______ __________ _______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892559460),,,,,
934,_______ ______ _______ ________ __________ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892559462),,,,,
935,________ ______ _______ ___________ ___ _____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892560597),,,,,
936,________ ______ ______ ______ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560601),,,,,
937,________ ______ _________ ________ ______ ___ _____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892560602),,,,,
938,________ ______ _________ _________ _______ ___ _____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892560603),,,,,
939,________ ______ ____ _________ _______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560605),,,,,
940,________ ______ ______ ____________ _______ ___ _____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892560606),,,,,
941,________ ______ ________ ________ _______ ___ _____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892560608),,,,,
942,________ ______ _______ _________ _______ ___ _____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892560610),,,,,
943,________ ______ _______ _______ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560612),,,,,
944,________ ______ _______ _________ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560613),,,,,
945,________ ______ ______ _______ ___ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560615),,,,,
946,________ ______ ______ ______ ___ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560616),,,,,
947,________ ______ _______ _______ _______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560617),,,,,
948,________ ______ ______ _______ _______ ___ _____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892560618),,,,,
949,________ ______ ______ _______ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560619),,,,,
950,________ ______ ___________ _______ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560621),,,,,
951,________ ______ _________ _________ _______ ___ _____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892560623),,,,,
952,________ ______ ______ ______ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560628),,,,,
953,________ ______ ________ _______ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560629),,,,,
954,________ ______ _____ ________ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560630),,,,,
955,________ ______ _____ _______ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560631),,,,,
956,________ ______ ______ _______ _______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560632),,,,,
957,________ ______ ________ _________ _______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560633),,,,,
958,________ ______ _________ _______ _______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560634),,,,,
959,________ ______ ______ ______ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560635),,,,,
960,______ _____________ ______ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560842),,,,,
961,______ ______ ________ _______ _______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560844),,,,,
962,______ ______ _______ _______ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560846),,,,,
963,______ ______ ______ _______ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560850),,,,,
964,______ ______ ______ _______ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560851),,,,,
965,______ ______ ______________ _______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560853),,,,,
966,______ ______ _______ _______ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560865),,,,,
967,_______ ______ ______ ________ ____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560870),,,,,
968,______ ______ _____ _______ ____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560872),,,,,
969,______ ______ ______ _______ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560874),,,,,
970,______ ___________ ________ _______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892560875),,,,,
971,_______ ______ ______ _____ _____ ___ ____ __\___ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892561575),,,,,
972,_______ ______ _____ _______ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892561584),,,,,
973,_______ ______ ______ ______ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892561586),,,,,
974,_______ _____ ______ _____ _____ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892561587),,,,,
975,_______ ______ _____ ______ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892561602),,,,,
976,_______ ______ ______ ______ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892561603),,,,,
977,_______ ______ ____ _______ _______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563739),,,,,
978,_______ ______ _____ _______ _______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563741),,,,,
979,_______ ______ ______ _______ _______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892563743),,,,,
980,_______ ______ _______ ________ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892563745),,,,,
981,_______ ______ ______ _______ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563747),,,,,
982,_______ ______ _______ ______ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892563749),,,,,
983,_______ ______ ______ ________ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892563751),,,,,
984,_______ ______ ______ _______ _____ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563783),,,,,
985,_______ ______ _______ ___________ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563784),,,,,
986,_______ _____ __ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892563785),,,,,
987,_______ ______ _____ _ _________ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563786),,,,,
988,_______ ______ ______ __ _____ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563787),,,,,
989,_______ ______ _______ __ ___________ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563790),,,,,
990,_______ ______ __________ __ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892563791),,,,,
991,_______ ______ _____________ __ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563793),,,,,
992,_______ ______ ______ __ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563794),,,,,
993,_______ ______ _____ __ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563795),,,,,
994,_______ ______ _______ __ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563796),,,,,
995,_______ ______ _______ ____ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892563799),,,,,
996,_______ ______ _______ __ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892563800),,,,,
997,_______ ______ ______ ___ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563801),,,,,
998,_______ ______ _______ _ _______ ___ ___ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892563839),,,,,
999,_______ ______ _____ _______ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565879),,,,,
1000,_______ ______ _____ ________ _______ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565881),,,,,
1001,_______ ______ _______ _____ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565886),,,,,
1002,_______ ______ _________ ______ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892565891),,,,,
1003,_______ ______ __________ ______ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.033
,(1504009014/IF/93393042892565892),,,,,
1004,_______ ______ _____ ____ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565895),,,,,
1005,_______ ______ _____ ______ ____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565897),,,,,
1006,_______ ______ ______ _______ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565902),,,,,
1007,_______ ______ ____ _______ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565910),,,,,
1008,_______ ______ ____ _ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565913),,,,,
1009,_______ ______ _______ _ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565915),,,,,
1010,_______ ______ _________ __ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565918),,,,,
1011,_______ ______ _______ ______ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565921),,,,,
1012,_______ ______ _____ ______ __________ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565923),,,,,
1013,_______ ______ _______ ________ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565926),,,,,
1014,_______ ______ _____ ________ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565928),,,,,
1015,_______ ______ _______ ______ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565931),,,,,
1016,_______ ______ ______ _ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565932),,,,,
1017,_______ ______ ______ _______ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565933),,,,,
1018,_______ ______ _____ _________ _________ ______ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565934),,,,,
1019,_______ ______ _____ _______ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565935),,,,,
1020,_______ ______ _____ _____ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565937),,,,,
1021,_______ ______ ____ __ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565938),,,,,
1022,_______ ______ ______ _ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565939),,,,,
1023,_______ ______ ___________ _________ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565940),,,,,
1024,_______ ______ _______ __ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565942),,,,,
1025,_______ ______ ________ __ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565943),,,,,
1026,_______ ______ _______ _ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565944),,,,,
1027,_______ ______ _______ _ ___________ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565945),,,,,
1028,_______ ______ _______ _ ___________ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892565946),,,,,
1029,_______ ______ _____ ________ _______ ___ ___ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892566271),,,,,
1030,_______ ______ _______ _ ________ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566282),,,,,
1031,_______ ______ ______ _ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566543),,,,,
1032,_______ ______ ________ __ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566547),,,,,
1033,_______ _______ __ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566549),,,,,
1034,_______ ______ _____ _ _______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566550),,,,,
1035,_______ ______ _______ _ _______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566552),,,,,
1036,_______ ______ _______ _ _______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566553),,,,,
1037,_______ ______ _______ _ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566556),,,,,
1038,_______ ______ _________ __ _______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566557),,,,,
1039,_______ ______ ________ _____ _______ ___ _____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566559),,,,,
1040,_______ ______ _____ ________ _______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566564),,,,,
1041,_______ ______ ______ __ _______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566566),,,,,
1042,_______ ______ __________ _______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566567),,,,,
1043,_______ ______ ______ ___ _______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566568),,,,,
1044,_______ ______ ______ ___ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566570),,,,,
1045,_______ ______ _____ ______ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566571),,,,,
1046,_______ ______ ______ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566572),,,,,
1047,_______ ______ ______ _______ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566573),,,,,
1048,_______ ______ _____ _ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566575),,,,,
1049,_______ ______ _______ _______ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566576),,,,,
1050,_______ ______ _______ _ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566577),,,,,
1051,_______ ______ ________ _ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566579),,,,,
1052,_______ ______ ________ __ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892566586),,,,,
1053,_______ ______ _____________ __ ______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892567412),,,,,
1054,_______ ______ __________ __ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892567414),,,,,
1055,_______ ______ ______ __ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892567415),,,,,
1056,_______ ______ ______ __ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892567419),,,,,
1057,_______ ______ _____ _ ______ ___ _____ ____ _____ _______,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892567421),,,,,
1058,_______ ______ _______ __ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892567422),,,,,
1059,_______ ______ _______ _ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892567424),,,,,
1060,_______ ______ _______ _ _____ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892567426),,,,,
1061,_______ ______ _____ _ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892567427),,,,,
1062,_______ ______ _________ _ ______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892567429),,,,,
1063,_______ ______ ______ ____ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892567431),,,,,
1064,_______ ______ _______ _ _______ ___ _____ ____ _____ _______,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892567433),,,,,
